Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PEAKVILLE PARK,"4,150,000","1,755.61","2,364",Nov-24,PEAKVILLE WALK,Resale,Land,163.1,"25,445",-,Terrace House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,800,000","2,011.79","2,883",Nov-24,JALAN CHERMAT,Resale,Land,186.9,"31,033",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,315,000","3,962.23","1,341",Nov-24,MARLENE AVENUE,Resale,Land,368.1,"14,439",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,288,000","2,710.38","1,582",Nov-24,ST. MICHAEL'S ROAD,Resale,Land,251.8,"17,029",-,Terrace House,1,Freehold,12,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"5,950,000","4,185.04","1,422",Nov-24,MEDWAY DRIVE,Resale,Land,388.8,"15,303",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SELETAR HILLS ESTATE,"3,710,000","1,982.73","1,871",Nov-24,KASAI ROAD,Resale,Land,184.2,"20,141",-,Terrace House,1,Freehold,28,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,250,000","2,799.72","1,875",Nov-24,BORTHWICK DRIVE,Resale,Land,260.1,"20,185",-,Semi-Detached House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
KELULUT HILL,"3,450,000","1,614.6","2,137",Nov-24,KELULUT HILL,Resale,Land,150,"23,000",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
DUNMAN GROVE,"5,600,000","2,361.62","2,371",Nov-24,DUNMAN ROAD,Resale,Land,219.4,"25,524",-,Terrace House,1,Freehold,15,Rest of Central Region,-
TAI PENG GARDENS,"4,250,000","3,128.02","1,359",Nov-24,JALAN RENGKAM,Resale,Land,290.6,"14,625",-,Terrace House,1,Freehold,19,Outside Central Region,-
WATTEN ESTATE,"11,400,000","5,041.86","2,261",Nov-24,WATTEN ESTATE ROAD,Resale,Land,468.4,"24,338",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"7,780,000","3,008.54","2,586",Nov-24,JEDBURGH GARDENS,Resale,Land,279.5,"27,835",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","1,489.74","3,356",Nov-24,NIVEN ROAD,Resale,Land,138.4,"36,127",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,888,000","1,731.93","3,400",Nov-24,JALAN KERIS,Resale,Land,160.9,"36,594",-,Terrace House,1,Freehold,15,Outside Central Region,-
CLYDESCOVE,"3,300,000","1,908.46","1,729",Nov-24,LOYANG PLACE,Resale,Land,177.3,"18,613",-,Terrace House,1,946 yrs lease commencing from 1937,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,600,000","3,456.32","1,620",Nov-24,LUCKY RISE,Resale,Land,321.1,"17,440",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
WESTWOOD PARK,"2,200,000","1,672.73","1,315",Nov-24,WESTWOOD CRESCENT,Resale,Land,155.4,"14,157",-,Terrace House,1,99 yrs lease commencing from 1994,22,Outside Central Region,-
LOYANG VILLAS,"2,400,000","2,712.53",885,Nov-24,LOYANG RISE,Resale,Land,252,"9,524",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,200,000","1,933.21","2,173",Nov-24,PENSHURST PLACE,Resale,Land,179.6,"23,385",-,Terrace House,1,Freehold,19,Outside Central Region,-
LAUW & SONS GARDEN,"10,880,000","4,634.98","2,347",Nov-24,BINCHANG RISE,Resale,Land,430.6,"25,267",-,Detached House,1,Freehold,20,Rest of Central Region,-
CLASSICAL TERRACE,"2,878,000","2,168.95","1,327",Nov-24,JALAN RINDU,Resale,Land,201.5,"14,283",-,Semi-Detached House,1,99 yrs lease commencing from 1993,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,000,000","8,496.03",824,Nov-24,JANSEN ROAD,Resale,Land,789.3,"8,869",-,Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,480,000","2,627.49","1,705",Nov-24,BURGHLEY DRIVE,Resale,Land,244.1,"18,353",-,Terrace House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
PARK VILLAS,"3,550,000","3,695.28",961,Nov-24,PARK VILLAS RISE,Resale,Land,343.3,"10,341",-,Terrace House,1,99 yrs lease commencing from 1994,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"44,380,000","21,833.7","2,033",Nov-24,HOLLAND PARK,Resale,Land,"2,028.4","21,879",-,Detached House,1,Freehold,10,Core Central Region,-
PAVILION PARK,"4,000,000","1,614.6","2,477",Nov-24,PAVILION VIEW,Resale,Land,150,"26,667",-,Terrace House,1,Freehold,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,250,000","1,635.05","2,599",Nov-24,JALAN BUNGA RAMPAI,Resale,Land,151.9,"27,979",-,Terrace House,1,Freehold,19,Rest of Central Region,-
GERALD GARDENS,"4,408,888","3,498.3","1,260",Nov-24,GERALD CRESCENT,Resale,Land,325,"13,566",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SHAMROCK PARK,"6,680,000","2,616.73","2,553",Nov-24,NAMLY PLACE,Resale,Land,243.1,"27,478",-,Terrace House,1,Freehold,10,Core Central Region,-
HAUS@SERANGOON GARDEN,"3,180,000","1,614.6","1,970",Nov-24,SERANGOON GARDEN PLACE,Resale,Land,150,"21,200",-,Terrace House,1,99 yrs lease commencing from 2011,19,Outside Central Region,-
MERA TERRACE,"3,890,000","1,614.6","2,409",Nov-24,SEAGULL WALK,Resale,Land,150,"25,933",-,Terrace House,1,Freehold,16,Outside Central Region,-
CORAL PARK,"4,400,000","1,680.26","2,619",Nov-24,PEMIMPIN PLACE,Resale,Land,156.1,"28,187",-,Terrace House,1,Freehold,20,Rest of Central Region,-
CORAL PARK,"4,730,000","1,771.75","2,670",Nov-24,PEMIMPIN PLACE,Resale,Land,164.6,"28,736",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"6,250,000","3,432.64","1,821",Nov-24,JALAN LEBAN,Resale,Land,318.9,"19,599",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,950,000","3,728.65","1,864",Nov-24,JALAN LYE KWEE,Resale,Land,346.4,"20,064",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
HENRY PARK,"8,380,000","4,193.65","1,998",Nov-24,MOUNT SINAI ROAD,Resale,Land,389.6,"21,509",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
ADELPHI PARK ESTATE,"10,190,000","6,289.41","1,620",Nov-24,GARDENIA ROAD,Resale,Land,584.3,"17,440",-,Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,053.75","1,867",Nov-24,FLORENCE ROAD,Resale,Land,283.7,"20,092",-,Semi-Detached House,1,947 yrs lease commencing from 1934,19,Outside Central Region,-
NIM COLLECTION,"3,788,000","1,913.84","1,979",Nov-24,NIM RISE,Resale,Land,177.8,"21,305",-,Terrace House,1,99 yrs lease commencing from 2016,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,350,000","2,405.75","2,224",Nov-24,JALAN LABU MANIS,Resale,Land,223.5,"23,937",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,530,000","6,823.3",810,Nov-24,JALAN MELATI,Resale,Land,633.9,"8,724",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"4,540,000","2,799.72","1,622",Nov-24,BODMIN DRIVE,Resale,Land,260.1,"17,455",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
ARDISIA GARDENS,"3,000,000","1,709.32","1,755",Nov-24,SERANGOON TERRACE,Resale,Land,158.8,"18,892",-,Terrace House,1,99 yrs lease commencing from 1993,19,Outside Central Region,-
SENNETT ESTATE,"4,000,000","1,623.21","2,464",Nov-24,MULBERRY AVENUE,Resale,Land,150.8,"26,525",-,Terrace House,1,Freehold,13,Rest of Central Region,-
HENRY PARK,"9,188,000","5,215.16","1,762",Nov-24,MOUNT SINAI ROAD,Resale,Land,484.5,"18,964",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
PARK VILLAS,"2,900,000","2,152.8","1,347",Nov-24,PARK VILLAS RISE,Resale,Land,200,"14,500",-,Semi-Detached House,1,99 yrs lease commencing from 1994,19,Outside Central Region,-
TAI KENG VILLAS,"3,200,000","3,925.63",815,Nov-24,JALAN KELICHAP,Resale,Land,364.7,"8,774",-,Terrace House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,580,000","2,034.4","3,234",Nov-24,LORONG 105 CHANGI,Resale,Land,189,"34,815",-,Terrace House,1,Freehold,15,Rest of Central Region,-
SEMBAWANG SPRINGS ESTATE,"4,900,000","4,357.27","1,125",Nov-24,JALAN HIKAYAT,Resale,Land,404.8,"12,105",-,Detached House,1,Freehold,27,Outside Central Region,-
THE MORNING DEW,"4,068,000","1,856.79","2,191",Nov-24,JALAN TARI PAYONG,Resale,Land,172.5,"23,583",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
SARACA GARDENS,"4,950,000","4,290.53","1,154",Nov-24,SARACA DRIVE,Resale,Land,398.6,"12,418",-,Semi-Detached House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","3,504.76","1,569",Nov-24,THIRD STREET,Resale,Land,325.6,"16,892",-,Terrace House,1,Freehold,15,Outside Central Region,-
PARK VILLAS,"3,100,000","1,629.67","1,902",Nov-24,PARK VILLAS RISE,Resale,Land,151.4,"20,476",-,Terrace House,1,99 yrs lease commencing from 1994,19,Outside Central Region,-
VILLA VERDE,"2,550,000","2,152.8","1,185",Nov-24,VERDE AVENUE,Resale,Land,200,"12,750",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","3,490.77","1,633",Nov-24,JALAN DAUD,Resale,Land,324.3,"17,576",-,Terrace House,1,Freehold,14,Outside Central Region,-
PICARDY GARDENS,"7,000,000","4,143.06","1,690",Nov-24,JALAN PARI BURONG,Resale,Land,384.9,"18,187",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
SENNETT ESTATE,"5,500,000","3,299.17","1,667",Nov-24,SIANG KUANG AVENUE,Resale,Land,306.5,"17,945",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
GREEN HILL ESTATE,"14,188,888","11,282.82","1,258",Nov-24,CHESTNUT CLOSE,Resale,Land,"1,048.2","13,536",-,Detached House,1,Freehold,23,Outside Central Region,-
LENTOR VILLAS,"4,230,000","2,170.02","1,949",Nov-24,LENTOR CRESCENT,Resale,Land,201.6,"20,982",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,728,000","2,894.44","1,979",Nov-24,JALAN BINCHANG,Resale,Land,268.9,"21,302",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
PASIR RIS BEACH PARK,"2,300,000","2,660.86",864,Nov-24,PASIR RIS HEIGHTS,Resale,Land,247.2,"9,304",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
VILLA VERDE,"2,600,000","2,152.8","1,208",Nov-24,VERDE AVENUE,Resale,Land,200,"13,000",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,680,000",882.65,"3,036",Nov-24,JALAN GEMBIRA,Resale,Land,82,"32,683",-,Terrace House,1,Freehold,13,Rest of Central Region,-
CORAL PARK,"6,675,889","2,686.69","2,485",Nov-24,PEMIMPIN PLACE,Resale,Land,249.6,"26,746",-,Terrace House,1,Freehold,20,Rest of Central Region,-
KIMNAN PARK,"6,350,000","5,048.32","1,258",Nov-24,JALAN SELAMAT,Resale,Land,469,"13,539",-,Terrace House,1,Freehold,14,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"3,110,000","1,517.72","2,049",Nov-24,CASUARINA ROAD,Resale,Land,141,"22,057",-,Terrace House,1,Freehold,20,Outside Central Region,-
SELETAR HILLS ESTATE,"4,680,000","3,881.5","1,206",Nov-24,JALAN JARAK,Resale,Land,360.6,"12,978",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"35,500,000","15,070.68","2,356",Nov-24,FORD AVENUE,Resale,Land,"1,400.1","25,355",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,868,000","2,982.7","1,632",Nov-24,JALAN SENYUM,Resale,Land,277.1,"17,568",-,Terrace House,1,Freehold,14,Outside Central Region,-
VILLA VERDE,"2,280,000","1,614.6","1,412",Nov-24,VERDE AVENUE,Resale,Land,150,"15,200",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
SPRING PARK ESTATE,"6,830,500","3,598.41","1,898",Nov-24,JALAN REMIS,Resale,Land,334.3,"20,432",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
SENNETT ESTATE,"6,990,000","4,961.13","1,409",Nov-24,PUAY HEE AVENUE,Resale,Land,460.9,"15,166",-,Semi-Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","3,757.71","1,464",Nov-24,BILAL LANE,Resale,Land,349.1,"15,755",-,Terrace House,1,Freehold,16,Outside Central Region,-
TAI KENG GARDENS,"3,500,000","1,868.63","1,873",Nov-24,TAI KENG GARDENS,Resale,Land,173.6,"20,161",-,Terrace House,1,Freehold,19,Outside Central Region,-
KISMIS RESIDENCES,"6,050,000","2,180.79","2,774",Nov-24,ENG KONG TERRACE,Resale,Land,202.6,"29,862",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CAPITOL PARK,"9,850,000","4,107.54","2,398",Nov-24,JALAN UNGGAS,Resale,Land,381.6,"25,812",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,018,000","6,587.57",610,Nov-24,WOODGROVE AVENUE,Resale,Land,612,"6,565",-,Detached House,1,99 yrs lease commencing from 1995,25,Outside Central Region,-
SANFORD PARK,"3,880,000","1,617.83","2,398",Nov-24,SIRAT PLACE,Resale,Land,150.3,"25,815",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"11,500,000","7,251.71","1,586",Nov-24,KOON SENG ROAD,Resale,Land,673.7,"17,070",-,Detached House,1,Freehold,15,Rest of Central Region,-
CLEMENTI PARK,"12,100,000","7,862.03","1,539",Nov-24,SUNSET VALE,Resale,Land,730.4,"16,566",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"12,280,000","5,115.05","2,401",Nov-24,CAMBORNE ROAD,Resale,Land,475.2,"25,842",-,Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,408,000","3,652.23","1,207",Nov-24,JALAN PARI DEDAP,Resale,Land,339.3,"12,991",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THOMSON HILLS ESTATE,"6,950,000","4,124.76","1,685",Nov-24,THOMSON GREEN,Resale,Land,383.2,"18,137",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
THE SPRINGSIDE,"4,530,000","2,284.12","1,983",Nov-24,SPRINGSIDE AVENUE,Resale,Land,212.2,"21,348",-,Terrace House,1,Freehold,26,Outside Central Region,-
GRACE PARK,"3,830,000","1,769.6","2,164",Nov-24,GRACE WALK,Resale,Land,164.4,"23,297",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,000,000","5,759.82","1,563",Nov-24,CARMICHAEL ROAD,Resale,Land,535.1,"16,819",-,Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,600,000","5,876.07","1,293",Nov-24,FABER TERRACE,Resale,Land,545.9,"13,922",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,850,000","3,507.99","1,668",Nov-24,EAST COAST AVENUE,Resale,Land,325.9,"17,950",-,Terrace House,1,Freehold,15,Outside Central Region,-
THE SPRINGSIDE,"4,100,000","2,615.65","1,567",Nov-24,SPRINGSIDE AVENUE,Resale,Land,243,"16,872",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,130,000","1,710.4","2,415",Nov-24,HIGHLAND TERRACE,Resale,Land,158.9,"25,991",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,980,000","2,792.18","2,858",Nov-24,JALAN SELANTING,Resale,Land,259.4,"30,763",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HILLVIEW VILLAS,"4,218,000","2,185.09","1,930",Nov-24,HILLVIEW CRESCENT,Resale,Land,203,"20,778",-,Terrace House,1,Freehold,23,Outside Central Region,-
SELETAR HILLS ESTATE,"4,328,000","3,283.02","1,318",Nov-24,JALAN LEKUB,Resale,Land,305,"14,190",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
TUAN SING PARK,"4,880,000","3,941.78","1,238",Nov-24,UPPER NERAM ROAD,Resale,Land,366.2,"13,326",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
WEST COAST GARDENS,"5,008,888","2,897.67","1,729",Nov-24,WEST COAST LANE,Resale,Land,269.2,"18,607",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
PAVILION PARK,"4,388,888","2,152.8","2,039",Nov-24,PAVILION RISE,Resale,Land,200,"21,944",-,Semi-Detached House,1,Freehold,23,Outside Central Region,-
AVILA TERRACE,"3,380,000","1,756.68","1,924",Nov-24,MARIAM WAY,Resale,Land,163.2,"20,711",-,Terrace House,1,Freehold,17,Outside Central Region,-
HIGHGATE PARK,"5,000,000","1,783.59","2,803",Nov-24,HIGHGATE CRESCENT,Resale,Land,165.7,"30,175",-,Terrace House,1,Freehold,21,Rest of Central Region,-
SERANGOON GARDEN ESTATE,"5,800,000","4,177.51","1,388",Nov-24,FARLEIGH AVENUE,Resale,Land,388.1,"14,945",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
WEST COAST GARDENS,"3,650,000","1,816.96","2,009",Nov-24,WEST COAST GROVE,Resale,Land,168.8,"21,623",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,528,000","3,318.54","1,063",Nov-24,JALAN BATALONG EAST,Resale,Land,308.3,"11,443",-,Semi-Detached House,1,Freehold,17,Outside Central Region,-
LENTOR VILLAS,"4,220,000","2,277.66","1,853",Nov-24,LENTOR STREET,Resale,Land,211.6,"19,943",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,180,000","2,370.23","1,764",Nov-24,CLEMENTI ROAD,Resale,Land,220.2,"18,983",-,Terrace House,1,Freehold,05,Outside Central Region,-
OEI TIONG HAM PARK,"23,000,000","10,849.04","2,120",Nov-24,OEI TIONG HAM PARK,Resale,Land,"1,007.9","22,820",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"21,000,000","8,237.69","2,549",Nov-24,FERNHILL ROAD,Resale,Land,765.3,"27,440",-,Detached House,1,Freehold,10,Core Central Region,-
PONGGOL PARK,"6,000,000","6,232.36",963,Nov-24,PONGGOL SEVENTEENTH AVENUE,Resale,Land,579,"10,363",-,Detached House,1,Freehold,19,Outside Central Region,-
THOMSON GARDEN ESTATE,"2,480,000",884.8,"2,803",Nov-24,JALAN CHEGAR,Resale,Land,82.2,"30,170",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,941.8","1,700",Nov-24,JALAN TAMAN,Resale,Land,273.3,"18,295",-,Terrace House,1,Freehold,12,Rest of Central Region,-
WEST COAST GARDENS,"3,650,000","1,799.74","2,028",Nov-24,WEST COAST GROVE,Resale,Land,167.2,"21,830",-,Terrace House,1,956 yrs lease commencing from 1928,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,688,000","2,182.94","2,148",Nov-24,POH HUAT ROAD,Resale,Land,202.8,"23,116",-,Terrace House,1,940 yrs lease commencing from 1941,19,Outside Central Region,-
OPERA ESTATE,"6,700,000","1,885.85","3,553",Nov-24,FIDELIO STREET,Resale,Land,175.2,"38,242",-,Terrace House,1,Freehold,15,Outside Central Region,-
FORTUNA SEAVIEW VILLAS,"5,180,000","3,421.88","1,514",Nov-24,TANAH MERAH KECHIL ROAD SOUTH,Resale,Land,317.9,"16,294",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
DAISY PARK,"3,500,000","1,659.81","2,109",Nov-24,DAISY AVENUE,Resale,Land,154.2,"22,698",-,Terrace House,1,Freehold,13,Outside Central Region,-
THOMSON HILLS ESTATE,"6,200,000","4,693.1","1,321",Nov-24,SERENADE WALK,Resale,Land,436,"14,220",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,550","3,216.28","1,088",Nov-24,SEMBAWANG ROAD,Resale,Land,298.8,"11,715",-,Terrace House,1,Freehold,27,Outside Central Region,-
KINGSVILLE,"4,380,000","2,610.27","1,678",Nov-24,KING'S ROAD,Resale,Land,242.5,"18,062",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
YUNNAN GARDENS,"3,800,000","2,549.99","1,490",Nov-24,YUNNAN ROAD,Resale,Land,236.9,"16,041",-,Terrace House,1,Freehold,22,Outside Central Region,-
OPERA ESTATE,"4,420,000","1,993.49","2,217",Nov-24,TERANG BULAN AVENUE,Resale,Land,185.2,"23,866",-,Terrace House,1,Freehold,15,Outside Central Region,-
PEAKVILLE PARK,"3,878,000","2,002.1","1,937",Nov-24,PEAKVILLE GROVE,Resale,Land,186,"20,849",-,Terrace House,1,Freehold,16,Outside Central Region,-
WOODLANDS PARK,"3,750,000","3,881.5",966,Nov-24,JALAN BUMBONG,Resale,Land,360.6,"10,399",-,Semi-Detached House,1,Freehold,25,Outside Central Region,-
SENNETT ESTATE,"3,230,000","1,500.5","2,153",Nov-24,MACPHERSON ROAD,Resale,Land,139.4,"23,171",-,Terrace House,1,Freehold,13,Rest of Central Region,-
HOLLAND GROVE,"3,768,000","2,180.79","1,728",Nov-24,HOLLAND GROVE VIEW,Resale,Land,202.6,"18,598",-,Semi-Detached House,1,99 yrs lease commencing from 1994,10,Core Central Region,-
LOYANG VILLAS,"2,320,000","1,630.75","1,423",Oct-24,LOYANG RISE,Resale,Land,151.5,"15,314",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"20,980,000","8,064.39","2,602",Oct-24,STEVENS CLOSE,Resale,Land,749.2,"28,003",-,Detached House,1,Freehold,10,Core Central Region,-
HOOVER PARK,"6,500,000","3,579.03","1,816",Oct-24,LORONG PISANG BATU,Resale,Land,332.5,"19,549",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,650,000","1,851.41","1,971",Oct-24,JALAN PARI UNAK,Resale,Land,172,"21,221",-,Terrace House,1,Freehold,16,Outside Central Region,-
SIGLAP PARK,"5,850,000","2,497.25","2,343",Oct-24,WOO MON CHEW ROAD,Resale,Land,232,"25,216",-,Terrace House,1,Freehold,15,Outside Central Region,-
SPRINGLEAF GARDEN,"6,250,000","3,549.97","1,761",Oct-24,SPRINGLEAF HEIGHT,Resale,Land,329.8,"18,951",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,200,000","1,332.58","2,401",Oct-24,LORONG PAYA LEBAR,Resale,Land,123.8,"25,848",-,Terrace House,1,Freehold,19,Rest of Central Region,-
GAO MING HUA YUAN,"11,750,000","5,881.45","1,998",Oct-24,SHAMAH TERRACE,Resale,Land,546.4,"21,504",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,800,000","2,230.3","1,704",Oct-24,LORONG 28 GEYLANG,Resale,Land,207.2,"18,340",-,Terrace House,1,Freehold,14,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,600,000","2,304.57","1,996",Oct-24,YUK TONG AVENUE,Resale,Land,214.1,"21,485",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,200,000","4,214.11","1,471",Oct-24,JALAN SENANG,Resale,Land,391.5,"15,837",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,925,000","3,473.54","1,706",Oct-24,THIRD STREET,Resale,Land,322.7,"18,361",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
SEASIDE PARK,"4,500,000","1,731.93","2,598",Oct-24,JALAN KERIS,Resale,Land,160.9,"27,968",-,Terrace House,1,Freehold,15,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"4,300,000","3,948.24","1,089",Oct-24,JALAN KURAS,Resale,Land,366.8,"11,723",-,Terrace House,1,Freehold,20,Outside Central Region,-
MANDARIN PARK,"4,500,000","2,145.27","2,098",Oct-24,JALAN JURONG KECHIL,Resale,Land,199.3,"22,579",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,420,000","1,983.81","1,724",Oct-24,TAMPINES ROAD,Resale,Land,184.3,"18,557",-,Terrace House,1,Freehold,19,Outside Central Region,-
SEMBAWANG SPRINGS ESTATE,"3,330,000","2,357.32","1,413",Oct-24,JALAN SALANG,Resale,Land,219,"15,205",-,Terrace House,1,Freehold,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"15,700,000","11,013.72","1,425",Oct-24,COTSWOLD CLOSE,Resale,Land,"1,023.2","15,344",-,Detached House,1,Freehold,13,Outside Central Region,-
PASIR RIS BEACH PARK,"2,250,000","2,468.19",912,Oct-24,PASIR RIS HEIGHTS,Resale,Land,229.3,"9,812",-,Terrace House,1,99 yrs lease commencing from 1978,18,Outside Central Region,-
SELETAR HILLS ESTATE,"4,000,000","2,228.15","1,795",Oct-24,JALAN SELASEH,Resale,Land,207,"19,324",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
OPERA ESTATE,"3,200,000","1,392.86","2,297",Oct-24,RIENZI STREET,Resale,Land,129.4,"24,730",-,Terrace House,1,Freehold,15,Outside Central Region,-
CHANGI GROVE,"6,360,000","6,008.46","1,059",Oct-24,JALAN MARIAM,Resale,Land,558.2,"11,394",-,Detached House,1,Freehold,17,Outside Central Region,-
OPERA ESTATE,"2,960,000","1,308.9","2,261",Oct-24,DAFNE STREET,Resale,Land,121.6,"24,342",-,Terrace House,1,Freehold,15,Outside Central Region,-
YEW LIAN PARK,"4,280,000","1,768.53","2,420",Oct-24,TAMAN PERMATA,Resale,Land,164.3,"26,050",-,Terrace House,1,Freehold,20,Rest of Central Region,-
